,Review,Cleaned_Review,Category
5026,"The location is perfect for events at the O2, and there are easy links to get to the rest of London.
We received excellent service in the restaurant on two evenings, and they were particularly helpful with my elderly Mum.",location perfect events easy link get rest london receive excellent service restaurant two even particularly helpful elderly mum,1
5027,Great staff and location.,great staff location,1
5028,The lobby,lobby,1
5029,Not a lot,not lot,1
5030,breakfast,breakfast,1
5031,Price and was given an upgrade. Very appreciative.,price give upgrade appreciative,1
5032,"A perfect hotel : nice room, good hotel room keeper",perfect hotel nice room good hotel room keeper,1
5033,"Everything 
From reception to bar and live music",everything reception bar live music,1
5034,beds were making noise,bed make noise,1
5035,The location and the relation between quality and price,location relation quality price,1
5036,It seemed safe.,seem safe,1
5037,The view,view,1
5038,"Receptionist took an hour for check in
Instead of double room they gave me twin room with two single bed which was dirty
Took deposits but check out time was longer as well staff need to be more professional 
Room should be more clean
Very disappointed about overall service",receptionist take hour check instead double room give twin room two single bed dirty take deposit check time longer well staff need professional room clean disappoint overall service,1
5039,"Big, bright, spacious and clean room. Good value for money.",big bright spacious clean room good value money,1
5040,Very warm room. Clean.,warm room clean,1
5041,The people and staff,people staff,1
5042,Waking up and leaving soon asap,wake leave soon soon possible,1
5043,the view and breakfast,view breakfast,1
5044,Location,location,1
5045,Maids are superb,maids superb,1
5046,"Romanian receptionist was absolutely lovely and supportive. However the guy in bar (bold bearded) we think German background he shouldn't have a job there. After 5 minutes leaving us waiting he greted us with ""What you want"". We asked for drinks menu and he abruptly responded with sarcasm no drinks list pointing to the wall telling us to look there and pointing to drinks behind bar. Due to his rudless and thankfully another bar staff arrived we asked him to serve us. He was very rude. From this experience we will not have a meal either nor a drink in such unfriendly bar atmosphere. We took our wine to our room. Also in smoking room next to us there were a group of young lads and strong smell of cannabis coming through vents into our bathroom etc. Windows were also grime dirty so only view was to open window held together with a teaspoon as catches broken. Also 2 single beds booked double so we had to sleep separate on our romantic visit from Northumberland for Christmas",romanian receptionist absolutely lovely supportive however guy bar bold beard think german background not job minutes leave us wait greted us want ask drink menu abruptly respond sarcasm drink list point wall tell us look point drink behind bar due rudless thankfully another bar staff arrive ask serve us rude experience not meal either drink unfriendly bar atmosphere take wine room also smoke room next us group young lads strong smell cannabis come vent bathroom etc windows also grime dirty view open window hold together teaspoon catch break also single bed book double sleep separate romantic visit northumberland christmas,1
5047,Big rooms. Good value for money.,big room good value money,1
5048,"Furniture, comfort, cleanliness",furniture comfort cleanliness,1
5049,Good location. Clean. Good service.,good location clean good service,1
5050,The interior needs major upgrade!!!!,interior need major upgrade,1
5051,The room could do with a make over,room could make,1
5052,Clean service is excellent!,clean service excellent,1
5053,Location,location,1
5054,£50,,1
5055,Location and size of room,location size room,1
5056,The price of the location is good the manager was nice and promised an upgrade next visit but still had a very cold night in a room with heating not working properly,price location good manager nice promise upgrade next visit still cold night room heat not work properly,1
5057,The presentation of the room and the hotel was a lot higher than the room price,presentation room hotel lot higher room price,1
5058,The location of the hotel,location hotel,1
